,0
20,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]
 [0.06347149 0.5216728  0.091694  ]]"
21,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]
 [0.06347149 0.5216728  0.091694  ]
 [0.0630438  0.52270296 0.09110479]]"
22,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]
 [0.06347149 0.5216728  0.091694  ]
 [0.0630438  0.52270296 0.09110479]
 [0.06355168 0.51745318 0.09182336]]"
23,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]
 [0.06347149 0.5216728  0.091694  ]
 [0.0630438  0.52270296 0.09110479]
 [0.06355168 0.51745318 0.09182336]
 [0.06403951 0.51589955 0.09151296]]"
24,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]
 [0.06347149 0.5216728  0.091694  ]
 [0.0630438  0.52270296 0.09110479]
 [0.06355168 0.51745318 0.09182336]
 [0.06403951 0.51589955 0.09151296]
 [0.06308389 0.51691837 0.0942549 ]]"
25,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06752783 0.48266742 0.11058251]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]
 [0.06347149 0.5216728  0.091694  ]
 [0.0630438  0.52270296 0.09110479]
 [0.06355168 0.51745318 0.09182336]
 [0.06403951 0.51589955 0.09151296]
 [0.06308389 0.51691837 0.0942549 ]
 [0.06343139 0.50483454 0.09667788]]"
26,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06231539 0.52726917 0.28087074]
 [0.0630438  0.52270296 0.09110479]
 [0.06347149 0.5216728  0.091694  ]
 [0.0630438  0.52270296 0.09110479]
 [0.06355168 0.51745318 0.09182336]
 [0.06403951 0.51589955 0.09151296]
 [0.06308389 0.51691837 0.0942549 ]
 [0.06343139 0.50483454 0.09667788]
 [0.0663116  0.47856678 0.09039675]]"
27,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06231539 0.52726917 0.28087074]
 [0.06343139 0.50483454 0.09667788]
 [0.0663116  0.47856678 0.09039675]
 [0.06303712 0.51076706 0.09102151]]"
28,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06231539 0.52726917 0.28087074]
 [0.06343139 0.50483454 0.09667788]
 [0.0663116  0.47856678 0.09039675]
 [0.06303712 0.51076706 0.09102151]
 [0.06625814 0.4783941  0.09055605]]"
29,"[[0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.0566619  0.81774744 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.056702   0.81770469 0.08120618]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.05365472 0.60816088 0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05364804 0.608168   0.33393395]
 [0.05902086 0.55581604 0.38930765]
 [0.05902086 0.55581604 0.38930765]
 [0.06231539 0.52726917 0.28087074]
 [0.06343139 0.50483454 0.09667788]
 [0.0663116  0.47856678 0.09039675]
 [0.06303712 0.51076706 0.09102151]
 [0.06625814 0.4783941  0.09055605]
 [0.07118991 0.46647558 0.08916499]]"
